question,row_number
นโยบาย refund signing authority ladder ฉบับล่าสุด (current version) ของฟ้าใหม่ มีผลบังคับใช้ตั้งแต่วันที่เท่าไหร่ครับ,11
MSRP ของสินค้ารหัส SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) เป็นเท่าไหร่ครับ,12
FahMai มี vendor (คู่ค้า/ซัพพลายเออร์) ทั้งหมดกี่รายในไดเรกทอรี DIM_VENDOR ครับ (นับทุกรายในตาราง รวมทั้งที่ยังใช้งานอยู่และที่ยุติสัญญาไปแล้ว),13
สาขาไหนของฟ้าใหม่ที่มีจำนวนรายการขาย (transactions) ตลอดประวัติศาสตร์มากที่สุดครับ และมีกี่รายการ,14
FahMai มีพนักงานทั้งหมดกี่คนในไดเรกทอรี DIM_EMPLOYEE ครับ (นับทุกแถวในตาราง รวมทุกสายงาน ทุกระดับ และทุกสาขา),15
ในวันที่ 15 ธันวาคม 2024 ลูกค้าสามารถคืนสินค้าได้ภายในกี่วันตามนโยบายของฟ้าใหม่ที่มีผลบังคับใช้ ณ วันนั้นครับ,16
ฟ้าใหม่มีลูกค้าประเภท B2B ทั้งหมดกี่รายใน DIM_CUSTOMER ครับ,17
อัตราการสะสม FahMai Points ต่อบาท (point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ก่อนวันที่ 1 เมษายน 2025 มีค่าเท่าไหร่ครับ,18
ตาม DIM_POLICY_VERSION อัตราการสะสม FahMai Points ต่อบาท (policy_variable=point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป มีค่าเท่าไหร่ครับ,19
ใน FACT_SHIPPING ของ FahMai ทั้งหมด ขอทราบว่า vendor ขนส่งรายใดเป็นผู้รับผิดชอบรายการขนส่งให้ FahMai บ้าง และมีจำนวนรายการขนส่ง (ตามจำนวนแถวใน FACT_SHIPPING) ของ vendor รายนั้นทั้งหมดกี่รายการครับ,20
ตามฐานข้อมูลลูกค้าของฟ้าใหม่ใน DIM_CUSTOMER ขณะนี้มีลูกค้าที่อยู่ใน loyalty_tier ระดับ gold ทั้งหมดกี่รายครับ,21
ในโปรแกรมสะสมแต้มของ FahMai (อ้างอิงคอลัมน์ loyalty_tier ใน DIM_CUSTOMER) ระดับสมาชิก (tier) ที่สูงที่สุดที่มีการกำหนดให้กับลูกค้าจริงในฐานข้อมูล คือระดับใดครับ,22
ฟ้าใหม่มีบัญชีธนาคาร (bank account) ที่ใช้ดำเนินงานทั้งหมดกี่บัญชีตาม DIM_BANK_ACCOUNT ครับ,23
ตาม DIM_POLICY_VERSION ของฟ้าใหม่ refund threshold (policy_variable=refund_threshold_thb) ที่มีผลบังคับใช้ ณ วันที่ 1 เมษายน 2025 (หลังการปรับนโยบายล่าสุด) มีค่าเท่าไหร่บาทครับ,24
ฟ้าใหม่มีแคมเปญโปรโมชัน (promotional campaigns) ที่แตกต่างกันทั้งหมดกี่แคมเปญในไดเรกทอรี DIM_PROMO_CAMPAIGN ครับ (นับทุกแถวในตาราง ทุกปี ทุกประเภท),25
ขอข้อมูล SKU ที่ขายดีที่สุดของฟ้าใหม่ตามจำนวนชิ้นที่ขายได้ (units sold) แยกเป็น 2 ปี ครับ ปี 2024 (พ.ศ. 2567) คือ SKU ไหน และปี 2025 (พ.ศ. 2568) คือ SKU ไหน? ตอบเป็น sku_id ของแต่ละปีให้ครบทั้งสองค่า,26
"ใน FACT_BANK_TRANSACTION ของฟ้าใหม่ ขอ single largest deposit แบบรายแถวเดียว (single transaction, ฝั่ง credit) ตลอดช่วงข้อมูลที่มี ขอครบ 4 อย่างคือ (1) จำนวนเงิน amount_thb (บาท), (2) วันที่ business_event_date, (3) account_id ของบัญชีที่รับเงิน, และ (4) source event ของรายการนี้ (เกี่ยวกับสินค้าตัวไหน / promo campaign อะไร / event ของบริษัทคืออะไร) ครับ",27
"อยากทราบครับว่าในกลุ่มลูกค้า B2C ของฟ้าใหม่ ทั้งหมดที่บันทึกใน FACT_LOYALTY_LEDGER ใครเป็นคนที่ ""earn"" คะแนนสะสมรวมตลอดเวลาได้มากที่สุด (รวมเฉพาะ event_type = earned ไม่นับ expired/redeemed/tier_change) ขอ customer_id, จำนวนคะแนนที่ earn รวมทั้งสิ้นเป็นตัวเลข และ loyalty_tier ปัจจุบันของลูกค้ารายนั้นตาม DIM_CUSTOMER ครับ",28
"ในปี 2025 (พ.ศ. 2568) ลูกค้า B2B รายไหนเป็นรายที่จ่ายเงินช้าที่สุด (วันที่ payment_received_date ล่าสุดของปี) รบกวนระบุ customer_id, จำนวนวันที่ชำระล่าช้ากว่า payment_due_date (ถ้าตรงเวลาให้ระบุ 0) และ payment_terms ที่ลูกค้ารายนั้นใช้อยู่ครับ",29
จากข้อมูล FACT_INVENTORY_MONTHLY_SNAPSHOT ของปี 2568 (ค.ศ. 2025) SKU ไหนของฟ้าใหม่มีจำนวนเหตุการณ์ stockout (closing_units = 0) ต่อสาขาต่อเดือน รวมแล้วมากที่สุดในรอบปี และกระทบสาขา (retail branch) กี่สาขาครับ,30
"ขอเปรียบเทียบผลแคมเปญ 11.11 Mega Sale ปีต่อปีหน่อยครับ โดยใช้ข้อมูลจาก FACT_PROMO_REDEMPTION เทียบ MEGA-1111-2567 (11.11 ปี 2567) กับ MEGA-1111-2568 (11.11 ปี 2568) ขอตัวเลข 4 ค่า: (1) จำนวน redemption ทั้งหมดของแคมเปญปี 2567, (2) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2567, (3) จำนวน redemption ทั้งหมดของแคมเปญปี 2568, และ (4) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2568 ครับ",31
ใน FACT_SALES ของ FahMai ตะกร้าซื้อขายฝั่ง B2C (is_b2b=False) ใบเดียวที่มียอด basket_total_thb สูงที่สุดตลอดทั้ง corpus เกิดขึ้นที่สาขาไหน รหัสรายการ (txn_id) คืออะไร และยอดรวมในตะกร้าเป็นกี่บาทครับ,32
ในปี 2024 (พ.ศ. 2567) ลูกค้าประเภท B2B ของ FahMai 5 อันดับแรกที่มียอดซื้อสูงสุด (วัดจาก net_total_thb ใน FACT_SALES รวมทั้งปี โดยกรองเฉพาะ business_event_date ที่อยู่ในปี 2024) คือลูกค้า customer_id อะไรบ้างครับ ขอเรียงจากอันดับ 1 ลงไปอันดับ 5 พร้อมยอด net รวมของแต่ละราย (หน่วยเป็นบาท) ด้วยครับ,33
"ลูกค้าซื้อสินค้าและรับของในวันที่ 15 กุมภาพันธ์ 2025 (2025-02-15) ตามนโยบายของ FahMai ที่ ""มีผลบังคับใช้"" ในวันนั้น ลูกค้ามีสิทธิ์ขอคืนสินค้าได้ภายในกี่วันนับจากวันที่รับสินค้าครับ (return_window_days ใน DIM_POLICY_VERSION ขอบเขต global)",34
ในวันที่ 20 มีนาคม 2568 (2025-03-20) เพดานวงเงินคืนเงิน (refund threshold) ที่บริษัทฟ้าใหม่ใช้บังคับอยู่ในขณะนั้นเป็นเท่าไหร่ในหน่วยบาท และเป็น policy_version_id หมายเลขใดครับ,35
จากตาราง FACT_RETURN ในช่วงสัปดาห์สุดท้ายของปี 2025 (ตั้งแต่ 2025-12-25 ถึง 2025-12-31 รวมทั้งสองวัน อิงตามคอลัมน์ business_event_date) มีรายการคืนสินค้าทั้งหมดกี่รายการ และเมื่อจัดกลุ่มตาม return_reason แล้วแต่ละหมวดเหตุผลมีจำนวนเท่าไหร่ครับ กรุณาระบุทั้งจำนวนรวมและจำนวนแยกตามเหตุผล,36
ขอข้อมูลจาก FACT_BANK_TRANSACTION หน่อยครับ ถ้านับเฉพาะธุรกรรมขาเข้า (credit / amount_thb เป็นบวก) และไม่นับบัญชี central operating ของ KBank (account_id=KBANK-OPER) แล้ว บัญชีไหนมี credit volume รวมสูงที่สุดในช่วงปี 2024-2025 และยอดรวมเป็นเท่าไหร่ (THB)? ขอ account_id + ยอด THB ครับ,37
ขอ Top 3 SKU ของฟ้าใหม่ที่ทำยอดขายรวม (gross revenue เป็น THB) ตลอดระยะเวลาที่มีข้อมูลในระบบสูงที่สุด โดยคิดจาก line_total_thb ใน FACT_SALES_LINE_ITEM ครับ ตอบ sku_id ทั้งสามตัวเรียงจากมากไปน้อย พร้อมระบุ brand_family ของแต่ละ SKU จาก DIM_PRODUCT ด้วย,38
ในช่วง pre-launch baseline ก่อนเปิดตัวสินค้า SF-Galaxy-Pro (เปิดตัววันที่ 2025-07-15) basket size เฉลี่ยต่อ transaction (basket_total_thb) ของยอดขายที่หน้าร้านสาขา (สาขาทั้งหมดที่ไม่ใช่ REMOTE) เทียบกับยอดขายช่องทางออนไลน์ (สาขา REMOTE) เป็นเท่าไหร่ครับ กรุณาให้ค่าทั้งสองอย่าง (offline และ online) เป็นบาท,39
NovaTech Laptop รุ่น NT-LT-001 (Powercell X3) เคยถูก recall ใช่ไหมครับ อยากทราบว่าใน dim_product_recall_history ของ SKU นี้มีการเปลี่ยน status (transition) ทั้งหมดกี่ครั้ง สถานะอะไรบ้าง และเปลี่ยนเมื่อวันที่เท่าไหร่ในแต่ละครั้ง? ขอตอบให้ครบทั้งจำนวน transition + รายชื่อ status ตามลำดับเวลา + วันที่ของแต่ละ transition ด้วยครับ,40
ในปี 2025 (2568) อัตราการคืนสินค้าต่อสาขา คำนวณจาก (จำนวน return / จำนวน sales transaction) สำหรับแต่ละสาขา ในช่วง business_event_date ปี 2025 สาขาใดมีอัตราการคืนสูงสุด และสาขาใดมีอัตราการคืนต่ำสุด ขอ branch_code ของทั้งสองสาขา พร้อมเปอร์เซ็นต์อัตราการคืนของแต่ละสาขาด้วยครับ,41
DN-LT-010 (Dawn flagship laptop) เป็น SKU ที่ทำรายได้สูงสุดของฟ้าใหม่ตลอดทั้งคลัง ขอตรวจรายการขายที่ใหญ่ที่สุดของรุ่นนี้ในระบบหน่อยครับ: ใน FACT_SALES_LINE_ITEM เมื่อ group by txn_id แล้ว transaction เดียวที่มียอดรวมเฉพาะ DN-LT-010 สูงที่สุดเป็นกี่บาท และในรายการนั้นขายไปกี่เครื่อง ขอเลขทั้งสองค่า (มูลค่า DN-LT-010 + จำนวนเครื่อง),42
ในปี 2025 (พ.ศ. 2568) ค่าธรรมเนียมธนาคารทั้งหมดของฟ้าใหม่ที่บันทึกใน FACT_BANK_TRANSACTION (transaction_type='fee') มีกี่รายการ และยอดรวม (ผลรวมของ amount_thb ของรายการเหล่านั้น) เป็นเท่าไหร่ THB ครับ ขอตัวเลข 2 ค่า: จำนวนรายการ + ยอดรวม THB,43
ในปี 2025 (พ.ศ. 2568) FahMai ขายสินค้า (sku_id) ที่แตกต่างกันกี่ตัวในแต่ละเดือนครับ ขอจำนวน SKU ที่ปรากฏใน FACT_SALES_LINE_ITEM (นับ DISTINCT sku_id) แยกตามเดือนของ business_event_date เป็น tuple 12 ค่าตามลำดับเดือนมกราคมถึงธันวาคม,44
ในปี 2025 (พ.ศ. 2568) วันใดของสัปดาห์ที่มีจำนวนรายการคืนสินค้า (return events) จากลูกค้าประเภท B2C มากที่สุดของฟ้าใหม่ครับ ขอตอบ 2 ค่า: (ก) ชื่อวันของสัปดาห์ และ (ข) จำนวนรายการคืนของวันนั้น (นับ return_id จาก FACT_RETURN หลัง join กับ DIM_CUSTOMER เพื่อกรอง customer_type='B2C' และ filter business_event_date อยู่ในปี 2025; group by day-of-week ของ business_event_date),45
วันที่ 2025-04-05 ใน LINE WORKS thread ของทีม Finance / Ops มีการแจ้งเคส invoice ID ซ้ำหลัง schema cutover ของ vendor V-013 (PayWise) ขอให้ตอบ 3 ข้อนี้ครับ: (1) invoice ID ที่ถูกแจ้งว่าซ้ำคือเลขอะไร (2) ใน FACT_VENDOR_PAYMENT มี payment record กี่แถวที่ใช้ invoice ID เดียวกันนี้ และ (3) แต่ละแถวจ่ายเป็นจำนวนเงินเท่าไหร่ (THB) และ posting_date เป็นวันที่เท่าไหร่,46
ในวันที่ 2025-07-15 (เปิดตัวโปรโมชัน SF-LAUNCH-2568) FACT_PROMO_REDEMPTION มีรายการที่ดู phantom / log ซ้ำจาก app channel กี่รายการ และมีการแจ้งปัญหานี้ใน LINE WORKS thread ของวันนั้นด้วยไหมครับ ถ้ามียอด discount ที่ถูกนับซ้ำคิดเป็นเท่าไหร่ (THB) และส่งผลให้ยอด redemption รวมของวันนั้นถูก inflate ไปกี่เปอร์เซ็นต์เมื่อเทียบกับยอดที่ dedup แล้ว,47
"ในปี 2025 ของสาขา REMOTE มีวันใดวันหนึ่งที่จำนวนธุรกรรมการขาย (FACT_SALES) พุ่งสูงผิดปกติเมื่อเทียบกับวันอื่นในปีเดียวกัน กรุณาระบุ (1) วันที่เกิด spike (ในรูปแบบ YYYY-MM-DD), (2) SKU ที่ครองสัดส่วนรายการในวันนั้น และ (3) จำนวนธุรกรรมทั้งหมดของสาขา REMOTE ในวันดังกล่าวครับ",48
"ในช่วงเดือนเมษายนถึงพฤษภาคม 2025 (เม.ย.–พ.ค. 2568) สาขาหนึ่งของฟ้าใหม่มีจำนวนการคืนสินค้า (FACT_RETURN) ที่มีสาเหตุระบุว่าเป็น 'hardware batch defect' ผิดปกติ รวมตัวกันที่สาขาเดียวเท่านั้น ไม่กระจายไปสาขาอื่น กรุณาตอบ 3 ข้อนี้ครับ: (1) SKU ที่ถูกส่งคืนคือรหัสอะไร, (2) สาขาที่เกิดเหตุการณ์นี้คือสาขาใด (branch_code), และ (3) มีการคืนสินค้าที่ระบุสาเหตุเป็น 'hardware batch defect' กี่ครั้งในสาขานั้น ภายในช่วงเดือนเม.ย.–พ.ค. 2568",49
"ใน FACT_SHIPPING มี shipment กลุ่มหนึ่งที่ posting_date ไม่ตรงกับ business_event_date ดูเหมือนถูก backpost (บันทึกย้อนหลัง) เข้าระบบช้ากว่าวันที่เกิดเหตุการณ์จริงหลายสัปดาห์ กรุณาตอบ 4 ข้อนี้ครับ: (1) มี shipment ทั้งหมดกี่รายการในกลุ่มนี้ (นับเฉพาะ row ที่ posting_date!= business_event_date ในตาราง FACT_SHIPPING ทั้งหมด), (2) ช่วง business_event_date ของ shipment กลุ่มนี้ครอบคลุมวันที่ใด ถึงวันที่ใด, (3) posting_date ที่ระบบใช้บันทึก batch นี้คือวันไหน, และ (4) ระยะเวลา lag สูงสุด (สูงสุดของจำนวนวันระหว่าง business_event_date กับ posting_date ในกลุ่มนี้) คือกี่วัน",50
ทีม Internal Audit ของฟ้าใหม่กำลังประเมิน 'ความรุนแรงของ bitemporal mismatch' ของ vendor-payment ledger ทั้งหมดในระบบ FACT_VENDOR_PAYMENT (ทั้ง 809 แถว ครอบคลุมปี 2024–2025) โดยใช้เกณฑ์ว่า แถวใดที่ posting_date กับ business_event_date 'ไม่ได้อยู่ในเดือนปฏิทินเดียวกัน' (กล่าวคือคนละ calendar month หรือคนละปี) ให้นับเป็น 'cross-month posting'. กรุณาตอบเป็น 2-tuple ครับ: (1) ในระบบทั้งหมด มี vendor payment กี่แถวที่ posting_date ตกในเดือน/ปี ที่แตกต่างจาก business_event_date และ (2) ลำดับเวลา (lag) สูงสุดที่พบเป็นกี่วัน (วัดเป็น absolute calendar days ระหว่าง business_event_date กับ posting_date ของแถวเดียวกัน). ขอให้นับจากตาราง public/tables/FACT_VENDOR_PAYMENT.csv โดยตรง ไม่ต้องอาศัยข้อมูลภายนอก,51
"ดูจาก FACT_SALES (filter branch_code='REMOTE') ทั้งปี 2024 และ 2025 จะเห็นว่ามีไตรมาสหนึ่งที่ revenue ของสาขา REMOTE สูงผิดปกติเมื่อเทียบกับไตรมาสอื่น ๆ ขอให้ตอบ 3 ข้อนี้ครับ: (1) ไตรมาสไหน (ระบุปีและไตรมาส เช่น 2025 Q3) (2) revenue ของสาขา REMOTE ในไตรมาสนั้นรวมเท่าไหร่ (THB, sum ของ net_total_thb) และ (3) เทียบกับ baseline ซึ่งคือค่าเฉลี่ยของอีก 7 ไตรมาสที่เหลือ (ทั้ง 2024 Q1-Q4 และ 2025 Q1, Q2, Q4) คิดเป็นกี่เท่าของ baseline (ratio ≈ x.xx)",52
"ในตาราง FACT_BANK_TRANSACTION ทั้งหมด รายการฝากเงิน (deposit) เดี่ยวที่มียอดสูงที่สุดเป็นรายการไหน? ขอทราบวันที่ (business_event_date), บัญชี (account_id), ยอดเงิน (amount_thb) และอธิบายสั้นๆ ว่าสิ่งใดเป็นตัวขับเคลื่อนยอดผิดปกตินี้ (โดยอ้างอิงจากตาราง DIM_PRODUCT หรือ DIM_PROMO_CAMPAIGN ตามความเหมาะสม)",53
"ที่จุดสิ้นปี 2025 (snapshot ของ FACT_INVENTORY_MONTHLY_SNAPSHOT ณ business_event_date = 2025-12-31) ขอทราบ (1) มี SKU จำนวนเท่าใดที่ closing_units = 0 ในทุกสาขาที่ปรากฏใน snapshot, (2) ในจำนวน SKU เหล่านั้น มีกี่ตัวที่ DIM_PRODUCT บันทึก end_of_life_date เอาไว้ (สะท้อนว่าได้รับการประกาศ EOL อย่างเป็นทางการแล้ว) และ (3) ในเดือนนั้น snapshot ครอบคลุมสาขากี่สาขา (ระบุว่าตรงกับจำนวนสาขาทั้งหมดใน DIM_BRANCH หรือไม่ ถ้าไม่ตรง สาขาใดหายไป)",54
ในบรรดา promo campaign ทั้งหมดที่ปรากฏใน DIM_PROMO_CAMPAIGN ของฟ้าใหม่ (FahMai) ถ้านิยาม ROI ratio ของแต่ละ campaign = SUM(FACT_SALES.net_total_thb) ÷ SUM(FACT_SALES.discount_total_thb) คิดเฉพาะธุรกรรมที่ promo_campaign_id ตรงกับ campaign นั้น ๆ ขอให้ตอบ 2 ข้อนี้ครับ: (1) campaign ไหนมี ROI ratio สูงสุด (ให้ตอบเป็น campaign_id) และ (2) ROI ratio ของ campaign นั้นเป็นกี่เท่า (round เป็นทศนิยม 1 ตำแหน่ง). กรุณาใช้ข้อมูลทั้งช่วงที่มีอยู่ใน FACT_SALES โดยไม่ filter ปี,55
"ขอให้ดูบัญชี OPER-REMOTE ใน DIM_BANK_ACCOUNT (สาขา REMOTE ขายผ่านช่อง online/e-commerce) และคำนวณจาก FACT_BANK_TRANSACTION ตอบ 2 ข้อนี้ครับ: (1) ในเดือนกรกฎาคม 2025 (business_event_date อยู่ในช่วง 2025-07-01 ถึง 2025-07-31) บัญชี OPER-REMOTE มียอด deposit รวมทั้งสิ้นกี่บาท (นับเฉพาะ transaction_type='deposit' และให้ตอบเป็นจำนวนเงิน THB ตามที่บันทึกใน amount_thb)? (2) ยอด deposit ของเดือนกรกฎาคม 2025 นี้ คิดเป็นสัดส่วนกี่เปอร์เซ็นต์ของยอด deposit ทั้งปี 2025 (ตลอด 12 เดือน) ของบัญชีเดียวกัน (ให้ round เปอร์เซ็นต์เป็นทศนิยม 1 ตำแหน่ง)? ขอให้ตอบเป็น 2-tuple (ยอดบาท, เปอร์เซ็นต์) พร้อมตัวเลขตัวจริง",56
"ทีม Finance ขอวิเคราะห์ vendor concentration ของฟ้าใหม่ (FahMai) ตลอดช่วงเวลาทั้งหมดที่ปรากฏใน FACT_VENDOR_PAYMENT (ทั้งปี 2024 และ 2025) ขอให้ตอบ 3 ข้อนี้ครับ: (1) เรียงลำดับ vendor ทุกราย (ระบุ vendor_id) ตาม paid_amount_thb รวมทั้งหมดจากมากไปน้อย พร้อมระบุยอดรวมเป็น THB ของแต่ละราย, (2) vendor ที่จ่ายเงินมากที่สุด (รายอันดับ 1) คิดเป็นสัดส่วน (%) ของยอด vendor spend ทั้งหมดเท่าไหร่ (round ทศนิยม 1 ตำแหน่ง), และ (3) ในชุดข้อมูลนี้มี vendor_invoice_id ของ vendor ใดที่ปรากฏซ้ำ (duplicate) ในตาราง ถ้ามี ระบุ vendor_id ของผู้ที่ออก invoice ซ้ำนั้น และแจ้งจำนวน vendor_invoice_id ที่ซ้ำกี่ id",57
"ทีม Inventory Planning ขอวิเคราะห์การ initialize stock ของ SKU AW-MN-001 (ArcWave monitor flagship) ณ จุดเริ่มต้นของระบบ โดยอ้างอิงจาก FACT_INVENTORY_MOVEMENT ของฟ้าใหม่ (FahMai) ขอให้ตอบ 3 ข้อนี้ครับ: (1) นับเฉพาะ movement_type='opening_balance' ของ SKU AW-MN-001 เท่านั้น (ไม่นับ transfer_in, transfer_out หรือ sale) ยอด quantity รวมของ opening_balance ทุกแถวที่บันทึก ณ as_of_date 2024-01-15 (คือ business_event_date ≤ 2024-01-15) เป็นเท่าไหร่ และมีกี่แถว/กี่ branch ที่มีการ initialize, (2) ในบรรดา branch ทั้งหมดที่ initialize opening_balance ของ SKU นี้ branch ใดได้รับ opening_balance ปริมาณมากที่สุด และเท่าไหร่ (ระบุ branch_code + quantity), และ (3) วันที่ 2024-01-15 (business_event_date='2024-01-15') มี movement_type='opening_balance' ของ SKU AW-MN-001 บันทึกในวันนั้นกี่แถว และ เพื่อ guard กับ confusion วันที่ 2024-01-15 เดียวกันนั้น มี movement_type='transfer_in' ของ SKU AW-MN-001 กี่แถวและ quantity รวมเท่าไหร่ (อย่ารวมตัวเลข transfer_in เข้ากับ opening_balance ในการตอบข้อ 1)",58
"ทีม Audit & Compliance ขอตรวจการอ้างอิงผู้บริหารและผู้อนุมัติเงินคืนของฟ้าใหม่ (FahMai) ณ สถานะปัจจุบัน (รอบ FY2025 ที่เพิ่งปิดและก่อนเริ่ม FY2026) โดยใช้ DIM_EMPLOYEE + FACT_REFUND_PAID + เอกสารภายในใน public/docs เป็นหลัก ขอให้ตอบ 3 ข้อนี้ครับ: (1) ขณะนี้ใครเป็น CEO ของฟ้าใหม่ (เป็น 'ผู้ที่ดำรงตำแหน่ง CEO ในปัจจุบัน' จริง ๆ ไม่ใช่ Founder/Board Chair เดิม) ระบุ employee_id + first_name + last_name + position_title และตำแหน่ง CEO นี้มีการเปลี่ยนผู้ดำรงตำแหน่งในวันใด (อ้างจาก leadership transition / handover ที่ระบุไว้ใน internal chat threads ภายใต้ public/docs/chat_line_works/ ปี 2025), (2) เมื่อ aggregate FACT_REFUND_PAID ทั้งคลัง (business_event_date 2024-01-01 ถึง 2025-12-31) แบบ GROUP BY approver_employee_id แล้วเรียงจากมากไปน้อย employee_id ของผู้ที่อนุมัติ refund (approver_employee_id) มากที่สุดโดยจำนวนแถวคือใคร (ระบุ employee_id + first_name + last_name + position_title) และอนุมัติไปทั้งหมดกี่แถว, (3) ผู้อนุมัติ refund อันดับ 1 ในข้อ (2) เป็นบุคคลเดียวกับ CEO คนปัจจุบันในข้อ (1) หรือไม่ ตอบ ใช่/ไม่ และอธิบายสั้น ๆ ว่า role ของผู้อนุมัติอันดับ 1 จริง ๆ คืออะไรในโครงสร้างองค์กร (ฝ่าย/dept_code อะไร และ position_level ระดับใด IC, Manager, Director หรือ C-level)",59
"ทีม Finance ของฟ้าใหม่กำลังตรวจสอบกรณี vendor payment ของ V-013 PayWise ที่มีปัญหาเรื่องเลข invoice ID ซ้ำกัน หลังเหตุการณ์ schema cutover ในเดือนเมษายน 2568 ขอให้คุณช่วยตอบคำถามต่อไปนี้โดยอ้างอิงจาก FACT_VENDOR_PAYMENT และ chat thread ภายใน (LINE WORKS) ของวันที่ 2025-04-05:

1) ในตาราง FACT_VENDOR_PAYMENT มีกี่แถวที่ใช้ vendor_invoice_id เดียวกันคือ PW-INV-2568-04823 (รวมทุกช่วงเวลา ไม่เฉพาะวันที่ 2025-04-05)?
2) แถวที่มี posting_date = 2025-04-05 มี payment_id อะไร และจ่ายไปเป็นจำนวนเท่าใด (THB)?
3) จาก chat thread ภายในของวันนั้น ทีมไหนรับผิดชอบในการยืนยันว่า record ใดเป็น canonical และสถานะของการตรวจสอบในวันนั้นเป็นอย่างไร?",60
ทีม Finance ขอให้ตรวจสอบ promotion SF-LAUNCH-2568 (E5 launch ของ SF-Galaxy-Pro). มีรายงานใน LINE WORKS thread ของทีม Ops ช่วงปลายเดือนกรกฎาคม 2025 ว่าฝั่ง app channel มี bug ที่ทำให้ promo redemption ถูก log ซ้ำ. ขอให้ตอบ 3 ข้อนี้ครับ: (1) ใน FACT_PROMO_REDEMPTION มีกี่ row ที่เป็น phantom duplicate ของ campaign นี้ (รวมตลอดทั้งช่วงที่ bug มีผล ไม่ใช่แค่ในวันที่แจ้งครั้งแรก) (2) เมื่อหัก phantom rows ออกแล้ว campaign นี้มี redemption ที่แท้จริงทั้งหมดกี่ row และ (3) discount_applied_thb รวม (sum) ที่แท้จริงของ campaign หลัง dedup เป็นเท่าไหร่ THB,61
